Transaction_ID,Order_ID,Order_Date,Ship_Date,Delivery_Date,Sales_Channel,Order_Status,Payment_Mode,Customer_ID,Customer_Name,Customer_Age,Gender,Customer_Segment,Customer_Rating,Country,State,City,Region,Postal_Code,Latitude,Longitude,Product_ID,Product_Name,Category,Sub_Category,Brand,Product_Type,Unit_Cost,Unit_Price,Quantity,Sales,Discount_Percentage,Discount_Amount,Cost,Profit,Profit_Margin,Tax,Shipping_Cost,Total_Amount,Year,Quarter,Month,Month_Number,Month_Name,Week_Number,Day,Day_Name,Sales_Target,Profit_Target,Monthly_Target,Target_Achievement_Percentage
TXN201203,ORD100741,28-05-2026,01-06-2026,02-06-2026,Online,Delivered,Credit Card,C1826,Aaron Schroeder,35,Male,Consumer,2.3,USA,California,Los Angeles,West,55695,34.0342113,-118.2632798,P1066,GoldenHarvest Wheat,Grocery,Staples,FarmFresh,Limited Edition,3.28,4.16,1,4.16,0.071,0.3,3.28,0.58,0.1394,0.31,21.34,25.51,2026,Q2,May-26,5,May,22,28,Thursday,165.48,42.8,4136.96,2.51
TXN206600,ORD104022,17-12-2025,19-12-2025,24-12-2025,Online,Delivered,Net Banking,C1957,Ellen Henry,31,Female,Home Office,1.9,USA,Washington,Seattle,West,22573,47.62221307,-122.3501166,P1064,GoldenCrisp Bun,Grocery,Bakery,PureHarvest,Standard,1.13,1.5,6,9,0.203,1.83,6.78,0.39,0.0433,0.57,10.13,17.87,2025,Q4,Dec-25,12,December,51,17,Wednesday,221.62,59.55,5540.57,4.06
TXN203521,ORD102132,07-11-2025,08-11-2025,10-11-2025,Mobile App,Cancelled,PayPal,C1837,Christopher Cantu,39,Male,Consumer,1.9,Australia,New South Wales,Sydney,New South Wales,61037,-33.88658994,151.2233451,P1013,ActionCam 4K,Electronics,Cameras,Voltrix,Economy,219.72,303.52,8,2428.16,0.063,152.97,1757.76,517.43,0.2131,182.02,12.99,2470.2,2025,Q4,Nov-25,11,November,45,7,Friday,427.23,105.49,10680.81,568.35
TXN202893,ORD101770,06-10-2025,07-10-2025,09-10-2025,Online,Delivered,Cash on Delivery,C1792,Jason Taylor,44,Male,Corporate,4.6,USA,Washington,Seattle,West,77835,47.61051545,-122.341297,P1104,CoolBreeze AC,Home Appliances,Cooling & Heating,ChillMax,Limited Edition,32.89,40.2,1,40.2,0.236,9.49,32.89,-2.18,-0.0542,2.46,22.22,55.39,2025,Q4,Oct-25,10,October,41,6,Monday,416.97,113.7,10424.34,9.64
TXN207002,ORD104273,13-08-2026,14-08-2026,15-08-2026,In-Store,Cancelled,PayPal,C2003,Derrick Brown,18,Male,Consumer,4.1,India,Delhi,New Delhi,North,25148,28.60324898,77.21088879,P1098,QuickBlend Mixer,Home Appliances,Kitchen Appliances,ChillMax,Standard,443.79,689.52,1,689.52,0.042,28.96,443.79,216.77,0.3144,52.84,13.68,727.08,2026,Q3,Aug-26,8,August,33,13,Thursday,393.29,95.08,9832.31,175.32
TXN206232,ORD103794,01-06-2024,03-06-2024,06-06-2024,Online,Processing,Credit Card,C1959,April Hardin,32,Female,Corporate  ,4.7,India,West Bengal,Kolkata,East,11378,22.55766252,88.37913606,P1083,FlexTrain Dumbbells,Sports,Fitness Equipment,FitCore,Premium,135.1,177.24,3,531.72,0.036,19.14,405.3,107.28,0.2018,41.01,8.66,562.25,2024,Q2,Jun-24,6,June,22,1,Saturday,241.6,59.43,6039.94,220.08
TXN200026,ORD100020,12-09-2024,15-09-2024,21-09-2024,Online,Returned,Credit card,C1999,Jennifer Burns,35,Female,Consumer,4.1,USA,Florida,Miami,East,93083,25.75712192,-80.17408178,P1052,CozyKnit Sweater,Clothing,Winter Wear,UrbanThread,Economy,73.07,116.87,3,350.61,0.068,23.84,219.21,107.56,0.3068,26.14,5.06,357.97,2024,Q3,Sep-24,9,September,37,12,Thursday,154.7,37.38,3867.38,226.64
TXN204854,ORD102954,11-07-2026,13-07-2026,19-07-2026,Online,Delivered,UPI,C1151,Mark Hill,19,Male,Corporate,4.6,India,Delhi,New Delhi,North,19307,28.61649666,77.20832283,P1073,StrongRoot Oil,Beauty,Haircare,VelvetTouch,Limited Edition,37.75,62.36,2,124.72,0.063,7.86,75.5,41.36,0.3316,9.35,18.71,144.92,2026,Q3,Jul-26,7,July,28,11,Saturday,193.41,42.7,4835.24,64.48
TXN201458,ORD100894,22-01-2024,26-01-2024,30-01-2024,Online,Shipped,Credit Card,C1787,Laurie Bailey,26,Female,Corporate,4.2,Australia,Queensland,Brisbane,Queensland,23470,-27.48813896,153.037053,P1074,VelvetMatte Lipstick,Beauty,Makeup,GlowEssence,Premium,5.93,8.87,1,8.87,0.084,0.75,5.93,2.19,0.2469,0.65,20.24,29.01,2024,Q1,Jan-24,1,January,4,22,Monday,141.59,36.74,3539.64,6.26
TXN203889,ORD102354,21-08-2026,22-08-2026,24-08-2026,Online,Cancelled,UPI,C1787,Laurie Bailey,26,Female,Corporate,3.7,India,Tamil Nadu,Chennai,South,70780,13.08896568,80.26664638,P1039,UrbanDenim Jeans,Clothing,Men's Wear,TrendLoom,Limited Edition,31.88,47.59,2,95.18,0.224,21.32,63.76,10.1,0.1061,5.91,22.94,102.71,2026,Q3,Aug-26,8,August,34,21,Friday,178.87,38.99,4471.66,53.21
TXN201099,ORD100679,30-05-2026,31-05-2026,05-06-2026,In-Store,Delivered,Net Banking,C1948,Zachary Dickson,18,Male,Consumer,3.6,UK,Cardiff County,Cardiff,Wales,49790,51.47481192,-3.175313353,P1081,FreshMint Toothpaste,Beauty,Personal Care,AuraCare,Standard,39.11,65.51,3,196.53,0.119,23.39,117.33,55.81,0.284,13.85,18.68,205.67,2026,Q2,May-26,5,May,22,30,Saturday,173.62,33.76,4340.39,113.2
TXN202348,ORD101428,09-12-2026,10-12-2026,12-12-2026,Online,Delivered,PayPal,C1595,Timothy Russell,37,Male,Corporate,3.5,USA,Texas,Dallas,South,53269,32.79183991,-96.78125405,P1096,DryFit Tshirt,Sports,Sportswear,FitCore,Premium,361.16,570.58,6,3423.48,0.104,356.04,2166.96,900.48,0.263,245.4,14.69,3327.53,2026,Q4,Dec-26,12,December,50,9,Wednesday,294.76,68.36,7368.99,1161.45
TXN202432,ORD101478,26-12-2025,28-12-2025,29-12-2025,In-Store,Returned,Credit Card,C1548,Matthew Ruiz,36,Male,Consumer,3.2,Canada,Quebec,Montreal,Quebec,25450,45.50801503,-73.57430658,P1026,VelvetLux Sofa,Furniture,Sofas,ModuLine,Economy,660.07,1087.41,1,1087.41,0.091,98.95,660.07,328.39,0.302,79.08,6.88,1074.42,2025,Q4,Dec-25,12,December,52,26,Friday,456.02,87.29,11400.54,238.46
TXN205503,ORD103351,26-11-2024,29-11-2024,30-11-2024,In-Store,Delivered,PayPal,C1591,Kevin Sanchez,44,Male,Consumer,4.9,USA,Michigan,Detroit,Midwest,39218,42.34036428,-83.04791552,P1003,ZenMobile Air,Electronics,Mobile Phones,Zynetic,Standard,99.37,153.01,3,459.03,0.167,76.66,298.11,84.26,0.1836,30.59,23.41,436.37,2024,Q4,Nov-24,11,November,48,26,Tuesday,478.01,110.1,11950.21,96.03
TXN200017,ORD100012,08-10-2025,11-10-2025,17-10-2025,Online,Cancelled,UPI,C1300,Lisa Byrd,46,Female,Consumer,2.4,India,Gujarat,Ahmedabad,West,43064,23.03707958,72.57569298,P1015,EchoBuds Wireless,Electronics,Audio,Pulsewave,Standard,566.41,694.84,3,2084.52,0.061,127.16,1699.23,258.13,0.1238,156.59,7.62,2121.57,2025,Q4,Oct-25,10,October,41,8,Wednesday,399.91,98.64,9997.66,521.25
TXN207274,ORD104429,16-04-2024,18-04-2024,24-04-2024,In-Store,Cancelled,Debit Card,C1969,Leah Thompson,34,Female,Corporate,4.4,UK,Greater Manchester,Manchester,England,42440,53.49200456,-2.259939793,P1083,FlexTrain Dumbbells,Sports,Fitness Equipment,FitCore,Premium,135.1,177.24,5,886.2,0.047,41.65,675.5,169.05,0.1908,67.56,24.01,936.12,2024,Q2,Apr-24,4,April,16,16,Tuesday,167.82,30.27,4195.52,528.07
TXN200291,ORD100169,01-11-2025,02-11-2025,05-11-2025,Online,Delivered,UPI,C1328,Joshua Levine,56,Male,Consumer,,Australia,Victoria,Melbourne,Victoria,79904,-37.82291641,144.9776219,P1021,ClassicWood Chair,Furniture,Chairs,UrbanNest,Standard,62.7,103.75,5,518.75,0.062,32.16,313.5,173.09,0.3337,38.93,8.14,533.66,2025,Q4,Nov-25,11,November,44,1,Saturday,309.05,57.2,7726.35,167.85
TXN208259,ORD105033,05-06-2026,09-06-2026,11-06-2026,Online,Delivered,Cash on Delivery,C1685,James Whitaker,37,Male,Home Office,4.9,India,Karnataka,Bangalore,South,43244,12.98330113,77.57867853,P1085,StretchFit Mat,Sports,Fitness Equipment,TrailForce,Limited Edition,274.25,331.83,2,663.66,0.058,38.49,548.5,76.67,0.1155,50.01,15.27,690.45,2026,Q2,Jun-26,6,June,23,5,Friday,206.33,47.16,5158.29,321.65
TXN208499,ORD105184,15-03-2026,16-03-2026,22-03-2026,In-Store,Delivered,Debit Card,C1450,Courtney Hayes,37,Female,Consumer,3.6,India,Delhi,New Delhi,North,39936,28.60024634,77.22056589,P1026,VelvetLux Sofa,Furniture,Sofas,ModuLine,Economy,660.07,1087.41,1,1087.41,0.172,187.03,660.07,240.31,0.221,72.03,9.32,981.73,2026,Q1,Mar-26,3,March,11,15,Sunday,346.69,64.8,8667.37,313.65
TXN201271,ORD100780,14-12-2024,15-12-2024,19-12-2024,Online,Shipped,Cash on Delivery,C1856,Lindsay Lawson,23,Female,Consumer,2.4,USA,Texas,Houston,South,95479,29.77284182,-95.38748802,P1063,SweetCrust Cake,Grocery,Bakery,DailyBasket,Economy,16.54,24,1,24,0.092,2.21,16.54,5.25,0.2188,1.74,24.23,47.76,2024,Q4,Dec-24,12,December,50,14,Saturday,155.32,43.34,3883.02,15.45
TXN205313,ORD103234,24-06-2024,26-06-2024,02-07-2024,Online,Delivered,Credit Card,C1928,Carlos Colon MD,59,Male,Corporate,4.8,Canada,Ontario,Toronto,Ontario,68169,43.64676617,-79.37076138,P1090,SmashPro Racket,Sports,Team Sports,FitCore,Standard,143.02,181.36,7,1269.52,0.133,168.85,1001.14,99.53,0.0784,88.05,12.94,1201.66,2024,Q2,Jun-24,6,June,26,24,Monday,173.5,44.53,4337.53,731.71
TXN201822,ORD101116,21-08-2026,25-08-2026,31-08-2026,In-Store,Shipped,Credit Card,C1181,Melissa Burton,37,Female,Corporate,2.6,USA,Massachusetts,Boston,East,33055,42.35692453,-71.05857447,P1098,QuickBlend Mixer,Home Appliances,Kitchen Appliances,ChillMax,Standard,443.79,689.52,1,689.52,0.057,39.3,443.79,206.43,0.2994,52.02,13.9,716.14,2026,Q3,Aug-26,8,August,34,21,Friday,398.59,72.3,9964.75,172.99
TXN200572,ORD100340,06-11-2025,10-11-2025,15-11-2025,Mobile App,Shipped,Debit Card,C2037,Chad York,57,Male,Small Business,2.9,India,Rajasthan,Jaipur,North,46330,26.91814481,75.79315653,P1076,BoldLash Mascara,Beauty,Makeup,AuraCare,Standard,11.26,18.5,4,74,0.127,9.4,45.04,19.56,0.2643,5.17,14.69,84.46,2025,Q4,Nov-25,11,November,45,6,Thursday,233.13,48.1,5828.19,31.74
TXN204937,ORD103012,29-10-2025,01-11-2025,02-11-2025,Online,Delivered,UPI,C1452,Cynthia Vang,49,Female,Home Office,2.5,India,West Bengal,Kolkata,East,55749,22.57729889,88.37827347,P1081,FreshMint Toothpaste,Beauty,Personal Care,AuraCare,Standard,39.11,65.51,2,131.02,0.058,7.6,78.22,45.2,0.345,9.87,13.62,146.91,2025,Q4,Oct-25,10,October,44,29,Wednesday,212.69,56.74,5317.13,61.6
TXN203768,ORD102281,21-09-2026,25-09-2026,30-09-2026,In-Store,Delivered,UPI,C1621,Daniel Anderson,43,Male,Consumer,5,USA,Washington,Seattle,West,49775,47.59477633,-122.3203289,P1077,MysticAura Perfume,Beauty,Fragrances,PureSkin,Premium,59.18,86.96,6,521.76,0.125,65.22,355.08,101.46,0.1945,36.52,22.48,515.54,2026,Q3,Sep-26,9,September,39,21,Monday,176.3,44.54,4407.45,295.95
TXN203055,ORD101861,14-03-2024,17-03-2024,18-03-2024,In-Store,Delivered,Credit card,C1686,Matthew Cohen,57,Male,Consumer,2.4,India,Rajasthan,Jaipur,North,22013,26.89864105,75.80421108,P1023,OakGrand Table,Furniture,Tables,CraftWood,Standard,245.73,358.77,1,358.77,0.125,44.85,245.73,68.19,0.1901,25.11,3.47,342.5,2024,Q1,Mar-24,3,March,11,14,Thursday,278.59,59.8,6964.85,128.78
TXN203996,ORD102424,10-05-2026,13-05-2026,15-05-2026,Mobile App,Shipped,Cash on Delivery,C2170,Karen Romero,43,Female,Home Office,,India,Maharashtra,Pune,West,99873,18.51556654,73.85236877,P1106,AirPure Cooler,Home Appliances,Cooling & Heating,EcoAppliance,Standard,401.62,502.39,1,502.39,0.196,98.47,401.62,2.3,0.0046,32.31,21.29,457.52,2026,Q2,May-26,5,May,19,10,Sunday,406.1,107.94,10152.4,123.71
TXN204064,ORD102472,30-10-2025,01-11-2025,04-11-2025,Online,Shipped,Net Banking,C1084,Angel Ellis,42,Female,Consumer,2.6,USA,Texas,Houston,South,21224,29.74084392,-95.36062586,P1087,AdventurePack Backpack,Sports,Outdoor Gear,ProActive,Standard,261.62,341.31,1,341.31,0.039,13.31,261.62,66.38,0.1945,26.24,23.07,377.31,2025,Q4,Oct-25,10,October,44,30,Thursday,201.77,47.74,5044.25,169.16
TXN206077,ORD103698,12-12-2026,16-12-2026,22-12-2026,Online,Shipped,PayPal,C1897,Sarah Murphy,44,Female,Corporate,3.8,USA,California,Los Angeles,West,65961,34.03489415,-118.2449196,P1050,WarmHug Jacket,Clothing,Winter Wear,TrendLoom,Limited Edition,7.36,14.05,3,42.15,0.063,2.66,22.08,17.41,0.413,3.16,4.86,47.51,2026,Q4,Dec-26,12,December,50,12,Saturday,364.65,93.6,9116.19,11.56
TXN201711,ORD101045,17-08-2025,21-08-2025,24-08-2025,Online,Shipped,Credit Card,C1112,Julia Torres,52,Female,Corporate,2.6,Canada,Ontario,Toronto,Ontario,59822,43.66290345,-79.38475257,P1023,OakGrand Table,Furniture,tables,CraftWood,Standard,245.73,358.77,1,358.77,0.04,14.35,245.73,98.69,0.2751,27.55,7.19,379.16,2025,Q3,Aug-25,8,August,33,17,Sunday,358.76,68.58,8968.88,100
TXN206881,ORD104197,30-10-2024,02-11-2024,03-11-2024,Online,Delivered,Credit Card,C1850,Jessica Bowen,24,Female,Consumer,3.3,UK,Cardiff County,Cardiff,Wales,49454,51.49032751,-3.164822647,P1049,TrailBlaze Boots,Clothing,Footwear,UrbanThread,Limited Edition,6.91,10.27,2,20.54,0.072,1.48,13.82,5.24,0.2551,1.52,20.21,40.79,2024,Q4,Oct-24,10,October,44,30,Wednesday,233.15,62.66,5828.79,8.81
TXN205672,ORD103451,16-04-2026,18-04-2026,20-04-2026,Online,Delivered,Debit Card,C1731,Debra Anderson,30,Female,Consumer,4.1,India,West Bengal,Kolkata,East,73992,22.57100749,88.36503267,P1003,ZenMobile Air,Electronics,Mobile Phones,Zynetic,Standard,99.37,153.01,2,306.02,0.093,28.46,198.74,78.82,0.2576,22.2,12.59,312.35,2026,Q2,Apr-26,4,April,16,16,Thursday,573.71,145.48,14342.69,53.34
TXN207225,ORD104400,28-12-2025,31-12-2025,01-01-2026,In-Store,Delivered,Cash on Delivery,C1423,Felicia Aguilar,30,Female,Consumer,2.8,USA,California,San Francisco,West,55759,37.7699988,-122.4374903,P1082,SmoothGlide Razor,Beauty,Personal Care,PureSkin,Economy,8.15,15.36,5,76.8,0.068,5.22,40.75,30.83,0.4014,5.73,24.77,102.08,2025,Q4,Dec-25,12,December,52,28,Sunday,224.87,53.22,5621.75,34.15
TXN206776,ORD104131,24-07-2026,25-07-2026,28-07-2026,In-Store,Delivered,Credit card,C1294,Laura Haney,27,Female,Corporate,5,UK,Lothian,Edinburgh,Scotland,35910,55.95845256,-3.208033716,P1089,ProKick Football,Sports,Team Sports,FitCore,Limited Edition,375.32,481.35,3,1444.05,0.134,193.5,1125.96,124.59,0.0863,100.04,21.85,1372.44,2026,Q3,Jul-26,7,July,30,24,Friday,272.45,73.07,6811.25,530.02
TXN207539,ORD104587,12-06-2024,13-06-2024,14-06-2024,Mobile App,Returned,PayPal,C2009,Blake Orr,32,Male,Consumer,4.5,UK,Lothian,Edinburgh,Scotland,14055,55.96829727,-3.190314481,P1082,SmoothGlide Razor,Beauty,Personal Care,PureSkin,Economy,8.15,15.36,1,15.36,0.112,1.72,8.15,5.49,0.3574,1.09,10.37,25.1,2024,Q2,Jun-24,6,June,24,12,Wednesday,121.09,33.75,3027.27,12.68
TXN202065,ORD101257,22-09-2024,25-09-2024,26-09-2024,In-Store,Delivered,Net Banking,C1559,Larry Robertson,24,Male,Consumer,1.6,UK,Glasgow City,Glasgow,Scotland,10265,55.86212015,-4.25427193,P1009,SlateAir 8,Electronics,Tablets,Pulsewave,Economy,417.15,534.39,3,1603.17,0.034,54.51,1251.45,297.21,0.1854,123.89,15.49,1688.04,2024,Q3,Sep-24,9,September,38,22,Sunday,302.21,71.96,7555.36,530.48
TXN203078,ORD101873,23-12-2026,25-12-2026,30-12-2026,Mobile App,Shipped,Debit Card,C1179,Eric Byrd,41,Male,Consumer,3.1,India,West Bengal,Kolkata,East,22168,22.55708904,88.3739526,P1018,FastCharge Cable,Electronics,Accessories,Pulsewave,Standard,308.92,368.84,1,368.84,0.08,29.51,308.92,30.41,0.0824,27.15,6.78,373.26,2026,Q4,Dec-26,12,December,52,23,Wednesday,905.85,208.77,22646.35,40.72
TXN200928,ORD100567,27-08-2026,31-08-2026,05-09-2026,In-Store,Shipped,Cash on Delivery,C1294,Laura Haney,27,Female,Corporate,4,India,Bihar,Patna,East,97003,25.5850779,85.14735564,P1100,FreshBrew Maker,Home Appliances,Kitchen Appliances,HomeTech,Standard,395.96,470.35,2,940.7,0.102,95.95,791.92,52.83,0.0562,67.58,17.78,930.11,2026,Q3,Aug-26,8,August,35,27,Thursday,398.59,89.06,9964.75,236.01
TXN203005,ORD101833,24-03-2024,27-03-2024,01-04-2024,In-Store,Delivered,Credit Card,C1038,Cassandra Gaines,32,Female,Corporate,3.8,USA,Florida,Miami,East,25397,25.76561876,-80.1922956,P1091,CourtStar Basketball,Sports,Team Sports,ProActive,Standard,370.63,639.86,2,1279.72,0.041,52.47,741.26,485.99,0.3798,98.18,6.04,1331.47,2024,Q1,Mar-24,3,March,12,24,Sunday,207.08,51.83,5177.09,617.98
TXN201675,ORD101022,20-03-2024,24-03-2024,28-03-2024,Online,Processing,Credit Card,C1580,David Grant,56,Male,Home Office,4.9,Canada,Quebec,Montreal,Quebec,83536,45.48239221,-73.57517813,P1105,WarmZone Heater,Home Appliances,Cooling & Heating,HomeTech,Premium,342.78,500.92,2,1001.84,0.135,135.25,685.56,181.03,0.1807,69.33,6.94,942.86,2024,Q1,Mar-24,3,March,12,20,Wednesday,241.7,49.08,6042.56,414.5
TXN206808,ORD104149,15-06-2025,18-06-2025,22-06-2025,Online,Delivered,UPI,C1486,Lance Short,36,Male,Consumer,4.2,India,Telangana,Hyderabad,South,81575,17.39134422,78.48523723,P1049,TrailBlaze Boots,Clothing,Footwear,UrbanThread,Limited Edition,6.91,10.27,1,10.27,0.065,0.67,6.91,2.69,0.2619,0.77,7.15,17.52,2025,Q2,Jun-25,6,June,24,15,Sunday,176.51,48.04,4412.82,5.82
